来源,方法,关键词,权重
情书,TF-IDF,但是,0.1155
情书,TF-IDF,真的,0.0935
情书,TF-IDF,今天,0.0737
情书,TF-IDF,喜欢,0.0736
情书,TF-IDF,自己,0.0715
情书,TF-IDF,祝福,0.0643
情书,TF-IDF,肯定,0.062
情书,TF-IDF,希望,0.0576
情书,TF-IDF,小强,0.0507
情书,TF-IDF,大话西游,0.0487
情书,TF-IDF,就是,0.0465
情书,TF-IDF,然后,0.0443
情书,TF-IDF,估计,0.0443
情书,TF-IDF,小常,0.0441
情书,TF-IDF,还是,0.0441
情书,TF-IDF,关系,0.0437
情书,TF-IDF,一次,0.043
情书,TF-IDF,没有,0.0402
情书,TF-IDF,时候,0.0396
情书,TF-IDF,压力,0.0378
情书,TF-IDF,我们,0.0375
情书,TF-IDF,想法,0.0367
情书,TF-IDF,如果,0.0366
情书,TF-IDF,一遍,0.0364
情书,TF-IDF,一起,0.036
情书,TF-IDF,记不清,0.0345
情书,TF-IDF,无数次,0.0342
情书,TF-IDF,一直,0.0336
情书,TF-IDF,毕竟,0.0334
情书,TF-IDF,什么,0.0329
后期小作文,TF-IDF,朋友圈,0.1673
后期小作文,TF-IDF,真的,0.128
后期小作文,TF-IDF,但是,0.1116
后期小作文,TF-IDF,很多,0.1039
后期小作文,TF-IDF,事情,0.0918
后期小作文,TF-IDF,情绪,0.0891
后期小作文,TF-IDF,觉得,0.0839
后期小作文,TF-IDF,500,0.0639
后期小作文,TF-IDF,确实,0.0613
后期小作文,TF-IDF,回复,0.059
后期小作文,TF-IDF,当然,0.0557
后期小作文,TF-IDF,有些,0.0499
后期小作文,TF-IDF,理解,0.0485
后期小作文,TF-IDF,方面,0.0456
后期小作文,TF-IDF,担心,0.0453
后期小作文,TF-IDF,方式,0.0449
后期小作文,TF-IDF,知道,0.0425
后期小作文,TF-IDF,自己,0.0424
后期小作文,TF-IDF,其实,0.0411
后期小作文,TF-IDF,勇气,0.0411
后期小作文,TF-IDF,压力,0.0411
后期小作文,TF-IDF,毕竟,0.0404
后期小作文,TF-IDF,长远,0.0399
后期小作文,TF-IDF,所以,0.0396
后期小作文,TF-IDF,最近,0.0386
后期小作文,TF-IDF,感觉,0.0377
后期小作文,TF-IDF,还是,0.0373
后期小作文,TF-IDF,屏蔽,0.0362
后期小作文,TF-IDF,似乎,0.035
后期小作文,TF-IDF,能够,0.0329
情书,TextRank,喜欢,1.0
情书,TextRank,没有,0.9189
情书,TextRank,肯定,0.7871
情书,TextRank,关系,0.7511
情书,TextRank,时候,0.6868
情书,TextRank,不能,0.668
情书,TextRank,希望,0.6299
情书,TextRank,压力,0.5853
情书,TextRank,回来,0.549
情书,TextRank,无法,0.5414
情书,TextRank,想法,0.5336
情书,TextRank,觉得,0.5228
情书,TextRank,看看,0.521
情书,TextRank,估计,0.4836
情书,TextRank,要求,0.4361
情书,TextRank,问题,0.4361
情书,TextRank,风景,0.4361
情书,TextRank,拔除,0.434
情书,TextRank,看过,0.4189
情书,TextRank,眷顾,0.4012
情书,TextRank,送到,0.3903
情书,TextRank,知道,0.3847
情书,TextRank,勇气,0.3834
情书,TextRank,事情,0.3668
情书,TextRank,基本,0.3603
情书,TextRank,抑制,0.3461
情书,TextRank,应该,0.3447
情书,TextRank,网友,0.3403
情书,TextRank,能够,0.3348
情书,TextRank,开学,0.3283
后期小作文,TextRank,事情,1.0
后期小作文,TextRank,情绪,0.9166
后期小作文,TextRank,方式,0.7421
后期小作文,TextRank,方面,0.6877
后期小作文,TextRank,可能,0.6553
后期小作文,TextRank,觉得,0.6458
后期小作文,TextRank,朋友圈,0.5921
后期小作文,TextRank,没有,0.5559
后期小作文,TextRank,需要,0.4904
后期小作文,TextRank,压力,0.4887
后期小作文,TextRank,知道,0.4431
后期小作文,TextRank,理解,0.4063
后期小作文,TextRank,能够,0.4061
后期小作文,TextRank,消息,0.4024
后期小作文,TextRank,影响,0.3724
后期小作文,TextRank,回复,0.3661
后期小作文,TextRank,工作,0.3639
后期小作文,TextRank,思考,0.3606
后期小作文,TextRank,角度,0.3565
后期小作文,TextRank,考虑,0.3472
后期小作文,TextRank,起起伏伏,0.337
后期小作文,TextRank,应该,0.337
后期小作文,TextRank,不想,0.3284
后期小作文,TextRank,适合,0.3246
后期小作文,TextRank,环境,0.3231
后期小作文,TextRank,界限,0.3209
后期小作文,TextRank,信息,0.3208
后期小作文,TextRank,感觉,0.3077
后期小作文,TextRank,说服,0.3016
后期小作文,TextRank,日子,0.3004
