来源,句号,句子,情感得分
情书,12,"(改天可以陪你看看《大话西游》，我大学期间，看过30多遍)
去年的年底，是我压力最大的时候，各方面的压力，工作、生活，一系列的压力，让我喘不过来气，但是每次看到你的时候，真的是会让我轻松很多，但是心底却又得压着。",1
后期小作文,24,"记得张惠妹的一首歌里面，《我最亲爱的》，这样写到“好想知道你近况，听别人说，还不如你对我讲”，当然，还有后面的几句“经过那段遗憾，请你放心，我变得更加坚强，世界不管怎样荒凉，爱过你就不怕孤单，我最亲
爱的，你过得怎么样”。",1
后期小作文,28,毕竟，我确实是有很多的实际情况，也有很多的问题，而你，真的是从我的角度，接受我，说服我，并且给了我很多的鼓励，也给我了很多的建议。,0.9989
情书,30,人生的路途上，总是有不同的阶段，不同的风景，不同的旅伴。,0.9987
情书,18,繁忙的工作，也让我的心底似乎淡了一些，但是，自己的反复和煎熬，还是让我经常想起你。,0.9979
后期小作文,90,2.14，你发了朋友圈，我没回复。,0.058
后期小作文,92,等啊等啊，一直没消息，不知道怎么办。,0.0538
后期小作文,91,我发了朋友圈，但是没让你看。,0.0493
情书,29,但是，现在的我，我不知道我能不能有这个勇气，但是，至少有一点，我不会骗你。,0.0456
情书,52,如果你真的起不来，我就给你放到四层吧，反正有微波炉。,0.036
